Model,MAE,RMSE,R2 Score
Linear Regression (Ridge),3259.954041157625,5608.63891802501,0.10210594753260871
ANN (MLPRegressor),14702.270003091504,15848.943797428616,-6.169861774763324
RNN (Gradient Boosting),3837.093229314275,5493.183210953425,0.1386923580156033
K-Means + Regresi,3179.409058617914,5572.046468929479,0.11378398964001568
Backpropagation Manual,14701.84799214332,15848.607067883237,-6.169557113622579
